titre,prix,ville,surface,chambres,salle_de_bain,lien,prix_log,prix_par_m2
CMN-MA-2188 - Appartement à vendre à Racine,1680000.0,Appartements dans Casablanca,144.0,3.0,1.0,https://www.avito.ma/fr/racine/appartements/CMN_MA_2188___Appartement_%C3%A0_vendre_%C3%A0_Racine_56537855.htm,14.33430494661736,11666.666666666666
CMN-AC-2063 - Appartement à vendre à Sidi Maarouf,900000.0,Appartements dans Casablanca,85.0,2.0,2.0,https://www.avito.ma/fr/sidi_maarouf/appartements/CMN_AC_2063___Appartement_%C3%A0_vendre_%C3%A0_Sidi_Maarouf_57349576.htm,13.710151153416941,10588.235294117647
CMN-HA-1859 - Appartement à vendre à Beauséjour,1270000.0,Appartements dans Casablanca,95.0,2.0,2.0,https://www.avito.ma/fr/beaus%C3%A9jour/appartements/CMN_HA_1859___Appartement_%C3%A0_vendre_%C3%A0_Beaus%C3%A9jour_57245367.htm,14.054528245836039,13368.421052631578
CMN-AN-1875 - Appartement à vendre à Bourgogne,1500000.0,Appartements dans Casablanca,113.0,3.0,1.0,https://www.avito.ma/fr/bourgogne/appartements/CMN_AN_1875___Appartement_%C3%A0_vendre_%C3%A0_Bourgogne_57306326.htm,14.220976332738882,13274.336283185841
CMN-MA-2478 - Appartement à vendre à Burger,2200000.0,Appartements dans Casablanca,197.0,4.0,1.0,https://www.avito.ma/fr/maarif/appartements/CMN_MA_2478___Appartement_%C3%A0_vendre_%C3%A0_Burger_57365012.htm,14.603968372873895,11167.51269035533
Appartement trois chambres salon,550000.0,Appartements dans Marrakech,64.0,3.0,2.0,https://www.avito.ma/fr/mabrouka/appartements/Appartement_trois_chambres_salon_57774663.htm,13.217675375388819,8593.75
Appartement à vendre 140 m² à PRESTIGIA,2800000.0,Appartements dans Bouskoura,160.0,3.0,3.0,https://www.avito.ma/fr/ville_verte/appartements/Appartement_%C3%A0_vendre_140_m%C2%B2_%C3%A0_PRESTIGIA_57608848.htm,14.845130332288226,17500.0
Appartement neuf haut standing,650000.0,Appartements dans Dar Bouazza,66.0,2.0,2.0,https://www.avito.ma/fr/dar_bouazza/appartements/Appartement_neuf_haut_standing_56888994.htm,13.384729180332174,9848.484848484848
Appartement à vendre 199 m² à Boulevard Zerktouni,3800000.0,Appartements dans Casablanca,199.0,3.0,3.0,https://www.avito.ma/fr/maarif/appartements/Appartement_%C3%A0_vendre_199_m%C2%B2_%C3%A0_Boulevard_Zerktouni_57706141.htm,15.150511887854474,19095.47738693467
Appart à vendre 76 m² (Rez Chaussée) à Bouznika,530000.0,Appartements dans Bouznika,76.0,2.0,1.0,https://www.avito.ma/fr/autre_secteur/appartements/Appart_%C3%A0_vendre_76_m%C2%B2__Rez_Chauss%C3%A9e__%C3%A0_Bouznika_56732656.htm,13.180634172318978,6973.684210526316
Appartement à vendre 84 m² à Marrakech,1600000.0,Appartements dans Marrakech,84.0,1.0,2.0,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_vendre_84_m%C2%B2_%C3%A0_Marrakech_57842585.htm,14.285514812209815,19047.619047619046
Excellent Appartements à vendre,950000.0,Appartements dans Temara,115.0,3.0,2.0,https://www.avito.ma/fr/autre_secteur/appartements/Excellent_Appartements_%C3%A0_vendre_56843700.htm,13.76421831620775,8260.869565217392
À vendre studio avec terrasse,990000.0,Appartements dans Marrakech,35.0,1.0,1.0,https://www.avito.ma/fr/gu%C3%A9liz/appartements/%C3%80_vendre_studio_avec_terrasse_57778597.htm,13.805461232211272,28285.714285714286
Appartement à vendre 67 m² à Asilah,900000.0,Appartements dans Asilah,67.0,2.0,1.0,https://www.avito.ma/fr/asilah/appartements/Appartement_%C3%A0_vendre_67_m%C2%B2_%C3%A0_Asilah_56773217.htm,13.710151153416941,13432.835820895523
Appartement à vendre 64 m² à Tanger,720000.0,Appartements dans Tanger,64.0,2.0,1.0,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_64_m%C2%B2_%C3%A0_Tanger_57801598.htm,13.487007879880162,11250.0
TNG-TA-1129 - Appartement à vendre à Msala,1350000.0,Appartements dans Tanger,86.0,2.0,1.0,https://www.avito.ma/fr/autre_secteur/appartements/TNG_TA_1129___Appartement_%C3%A0_vendre_%C3%A0_Msala_57618931.htm,14.115615891155079,15697.67441860465
Appartement au 4ème étage avec ascenseur à la résidence Jawharat Al Atlas,400000.0,Appartements dans Béni Mellal,84.0,3.0,2.0,https://www.avito.ma/fr/b%C3%A9ni_mellal/appartements/Appartement_au_4%C3%A8me_%C3%A9tage_avec_ascenseur_%C3%A0_la_r%C3%A9sidence_Jawharat_Al_Atlas_57370619.htm,12.899222326086994,4761.9047619047615
Appartements à vendre 47 m² à Fnideq,380000.0,Appartements dans Fnideq,47.0,2.0,1.0,https://www.avito.ma/fr/fnideq/appartements/Appartements_%C3%A0_vendre_47_m%C2%B2_%C3%A0_Fnideq_57842550.htm,12.847929163278053,8085.106382978724
Appartement à vendre 174m2 à Mers Sultan,440000.0,Appartements dans Casablanca,174.0,3.0,2.0,https://www.avito.ma/fr/mers_sultan/appartements/Appartement_%C3%A0_vendre_174m2_%C3%A0_Mers_Sultan_57145224.htm,12.994532278619134,2528.735632183908
Appartement à vendre à Sidi Moumen près de la résidence Abeer,460000.0,Appartements dans Casablanca,59.0,2.0,1.0,https://www.avito.ma/fr/sidi_moumen/appartements/Appartement_%C3%A0_vendre_%C3%A0_Sidi_Moumen_pr%C3%A8s_de_la_r%C3%A9sidence_Abeer_57842507.htm,13.038983942375959,7796.610169491525
Appartements de qualité à vendre,750000.0,Appartements dans Temara,75.0,2.0,1.0,https://www.avito.ma/fr/autre_secteur/appartements/Appartements_de_qualit%C3%A9_%C3%A0_vendre_56807420.htm,13.527829818844937,10000.0
Appartements à vendre près du café Russie,850000.0,Appartements dans Martil,80.0,3.0,1.0,https://www.avito.ma/fr/martil/appartements/Appartements_%C3%A0_vendre_pr%C3%A8s_du_caf%C3%A9_Russie_57739365.htm,13.652992804936396,10625.0
Appartement rez-de-chaussée à vendre à Haddada,740000.0,Appartements dans Kénitra,78.0,2.0,2.0,https://www.avito.ma/fr/el_haddada/appartements/Appartement_rez_de_chauss%C3%A9e_%C3%A0_vendre_%C3%A0_Haddada_57842499.htm,13.51440681653079,9487.179487179486
Appartement à vendre,1450000.0,Appartements dans Marrakech,74.0,2.0,2.0,https://www.avito.ma/fr/victor_hugo/appartements/Appartement_%C3%A0_vendre_57172033.htm,14.187074804051692,19594.594594594593
Appartement de haut standing,1650000.0,Appartements dans Tétouan,147.0,2.0,2.0,https://www.avito.ma/fr/safir/appartements/Appartement_de_haut_standing_57783470.htm,14.316286451937186,11224.489795918367
Appartement 92 m² à vendre Haddada 3 chambres,920000.0,Appartements dans Kénitra,92.0,3.0,2.0,https://www.avito.ma/fr/el_haddada/appartements/Appartement_92_m%C2%B2_%C3%A0_vendre_Haddada_3_chambres_57842491.htm,13.732130035981154,10000.0
Appartement à vendre 70 m² à Essaouira,720000.0,Appartements dans Essaouira,75.0,2.0,1.0,https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_vendre_70_m%C2%B2_%C3%A0_Essaouira_57768043.htm,13.487007879880162,9600.0
Appartement sur R plus 2,930000.0,Appartements dans El Jadida,80.0,3.0,2.0,https://www.avito.ma/fr/hay_essalam/appartements/Appartement_sur_R_plus_2_55568045.htm,13.742940940397677,11625.0
Bel appartement à vendre calme proche de tout,450000.0,Appartements dans Meknès,115.0,3.0,1.0,https://www.avito.ma/fr/wislane/appartements/Bel_appartement_%C3%A0_vendre_calme_proche_de_tout_57460389.htm,13.017005083966255,3913.0434782608695
Appartements Excellent a vendre,1200000.0,Appartements dans Temara,96.0,2.0,1.0,https://www.avito.ma/fr/autre_secteur/appartements/Appartements_Excellent_a_vendre_57006337.htm,13.997832948091215,12500.0
Appartement à vendre 99 m² à Casablanca,950000.0,Appartements dans Casablanca,87.0,3.0,2.0,https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_%C3%A0_vendre_99_m%C2%B2_%C3%A0_Casablanca_56666374.htm,13.76421831620775,10919.540229885057
Tanger. Baliya Douha,500000.0,Appartements dans Tanger,54.0,2.0,1.0,https://www.avito.ma/fr/tanja_balia/appartements/Tanger__Baliya_Douha_57842456.htm,13.122365377402328,9259.25925925926
Appartement à Al Qods Bernoussi,1150000.0,Appartements dans Casablanca,98.0,3.0,2.0,https://www.avito.ma/fr/sidi_bernoussi/appartements/Appartement_%C3%A0_Al_Qods_Bernoussi_56314871.htm,13.955273369904273,11734.69387755102
Un appartement,1100000.0,Appartements dans Meknès,200.0,3.0,2.0,https://www.avito.ma/fr/hamria/appartements/Un_appartement_57792800.htm,13.910821646859095,5500.0
Appartements à vendre à Harhoura Valdor,1560000.0,Appartements dans Temara,92.0,2.0,1.0,https://www.avito.ma/fr/harhoura/appartements/Appartements_%C3%A0_vendre_%C3%A0_Harhoura_Valdor_57004457.htm,14.260197020251155,16956.521739130436
Bel appartement terrasse à Essaouira,850000.0,Appartements dans Essaouira,62.0,1.0,1.0,https://www.avito.ma/fr/centre_ville/appartements/Bel_appartement_terrasse_%C3%A0_Essaouira_57277766.htm,13.652992804936396,13709.677419354839
"Appartement ""Soumi Vini"" dans un quartier chic près de la mosquée et sans intérêt",380000.0,Appartements dans Benslimane,126.0,3.0,1.0,https://www.avito.ma/fr/autre_secteur/appartements/Appartement__Soumi_Vini__dans_un_quartier_chic_pr%C3%A8s_de_la_mosqu%C3%A9e_et_sans_int%C3%A9r%C3%AAt_57737989.htm,12.847929163278053,3015.873015873016
Triplex de 200m² à 200m avenue ibn badis,1120000.0,Appartements dans El Jadida,203.0,3.0,1.0,https://www.avito.ma/fr/autre_secteur/appartements/Triplex_de_200m%C2%B2_%C3%A0_200m_avenue_ibn_badis_57052573.htm,13.928840136128022,5517.241379310345
Appartement à vendre 92 m² à boustane El Jadida,660000.0,Appartements dans El Jadida,92.0,2.0,1.0,https://www.avito.ma/fr/al_boustane/appartements/Appartement_%C3%A0_vendre_92_m%C2%B2_%C3%A0_boustane_El_Jadida_57179527.htm,13.399996629152975,7173.913043478261
Appartement à vendre 75 m² à Marrakech,1350000.0,Appartements dans Marrakech,75.0,2.0,2.0,https://www.avito.ma/fr/route_de_casablanca/appartements/Appartement_%C3%A0_vendre_75_m%C2%B2_%C3%A0_Marrakech_57842355.htm,14.115615891155079,18000.0
Très bel appartement à vendre,970000.0,Appartements dans Temara,88.0,2.0,2.0,https://www.avito.ma/fr/wifak/appartements/Tr%C3%A8s_bel_appartement_%C3%A0_vendre_57296128.htm,13.785052381406869,11022.727272727272
Studio de Luxe Meublé à vendre,1100000.0,Appartements dans Marrakech,45.0,1.0,1.0,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Studio_de_Luxe_Meubl%C3%A9_%C3%A0_vendre_57542020.htm,13.910821646859095,24444.444444444445
Appartement à vendre 75 m² à Essaouira,1000000.0,Appartements dans Essaouira,75.0,3.0,2.0,https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_vendre_75_m%C2%B2_%C3%A0_Essaouira_57767821.htm,13.815511557963774,13333.333333333334
"Superbe appartement à vendre, premier étage, 290 000 dirhams",290000.0,Appartements dans Kénitra,70.0,2.0,2.0,https://www.avito.ma/fr/bir_rami/appartements/Superbe_appartement_%C3%A0_vendre__premier_%C3%A9tage__290_000_dirhams_57778120.htm,12.577639650232573,4142.857142857143
Appartement à vendre 145 m² à la marina casablanca,3900000.0,Appartements dans Tanger,155.0,2.0,3.0,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_145_m%C2%B2_%C3%A0_la_marina_casablanca_56472283.htm,15.176487367510099,25161.290322580644
Appartement à vendre 100 m² à Fès,520000.0,Appartements dans Fès,100.0,3.0,2.0,https://www.avito.ma/fr/tghat/appartements/Appartement_%C3%A0_vendre_100_m%C2%B2_%C3%A0_F%C3%A8s_55542483.htm,13.161586013632684,5200.0
Appartement 200m² haut standing – Moulay Abdelaziz,2500000.0,Appartements dans Tanger,200.0,5.0,2.0,https://www.avito.ma/fr/centre/appartements/Appartement_200m%C2%B2_haut_standing___Moulay_Abdelaziz_57719627.htm,14.731801689838349,12500.0
Appartement À vendre à Témara Wifak 87m²,1450000.0,Appartements dans Temara,87.0,2.0,2.0,https://www.avito.ma/fr/wifak/appartements/Appartement_%C3%80_vendre_%C3%A0_T%C3%A9mara_Wifak_87m%C2%B2_56368979.htm,14.187074804051692,16666.666666666668
Appartement à vendre 140 m² à Bouznika,760000.0,Appartements dans Bouznika,146.0,3.0,2.0,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_140_m%C2%B2_%C3%A0_Bouznika_56060026.htm,13.541075028051122,5205.479452054795
appartement californie,4000000.0,Appartements dans Casablanca,190.0,3.0,2.0,https://www.avito.ma/fr/californie/appartements/appartement_californie_57842283.htm,15.201805169084134,21052.63157894737
APPARTEMENT À VENDRE À ABWAB GUELIZ,700000.0,Appartements dans Marrakech,80.0,2.0,2.0,https://www.avito.ma/fr/mabrouka/appartements/APPARTEMENT_%C3%80_VENDRE_%C3%80_ABWAB_GUELIZ_57325805.htm,13.45883704259595,8750.0
Appartement neuf à vendre 136 m² à Harhoura Valdor,2400000.0,Appartements dans Temara,136.0,3.0,3.0,https://www.avito.ma/fr/harhoura/appartements/Appartement_neuf_%C3%A0_vendre_136_m%C2%B2_%C3%A0_Harhoura_Valdor_56193135.htm,14.690979711984754,17647.058823529413
APPARTEMENT À VENDRE AU CŒUR DE GUELIZ,2300000.0,Appartements dans Marrakech,110.0,2.0,2.0,https://www.avito.ma/fr/gu%C3%A9liz/appartements/APPARTEMENT_%C3%80_VENDRE_AU_C_UR_DE_GUELIZ_57733289.htm,14.648420115681892,20909.090909090908
Appartement à vendre,1150000.0,Appartements dans Larache,227.0,4.0,2.0,https://www.avito.ma/fr/larache/appartements/Appartement_%C3%A0_vendre_57696245.htm,13.955273369904273,5066.079295154185
Appartement 113 m2 Quartier des Hôpitaux,1760000.0,Appartements dans Casablanca,113.0,2.0,2.0,https://www.avito.ma/fr/2_mars/appartements/Appartement_113_m2_Quartier_des_H%C3%B4pitaux_57842170.htm,14.38082493519599,15575.221238938053
Appt 2 ch double salon à vendre à Borgogne ouest,2500000.0,Appartements dans Casablanca,140.0,2.0,2.0,https://www.avito.ma/fr/les_princesses/appartements/Appt_2_ch_double_salon_%C3%A0_vendre_%C3%A0_Borgogne_ouest_56936558.htm,14.731801689838349,17857.14285714286
Appartement à vendre 70 m² au Vizir Center à Marrakech,1250000.0,Appartements dans Marrakech,70.0,1.0,2.0,https://www.avito.ma/fr/route_de_casablanca/appartements/Appartement_%C3%A0_vendre_70_m%C2%B2_au_Vizir_Center_%C3%A0_Marrakech_57822484.htm,14.038654909278163,17857.14285714286
Appartement d’exception front mer- Tamaris Premium,2000000.0,Appartements dans Tamaris,117.0,2.0,1.0,https://www.avito.ma/fr/tamaris/appartements/Appartement_d_exception_front_mer__Tamaris_Premium_57728469.htm,14.508658238524095,17094.017094017094
Appartements de qualité à vendre à Ain Atiq,850000.0,Appartements dans Temara,88.0,3.0,1.0,https://www.avito.ma/fr/ain_atig/appartements/Appartements_de_qualit%C3%A9_%C3%A0_vendre_%C3%A0_Ain_Atiq_56687150.htm,13.652992804936396,9659.09090909091
Appartement à vendre 83 m² à Ain sebaa,1080000.0,Appartements dans Casablanca,83.0,3.0,2.0,https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_%C3%A0_vendre_83_m%C2%B2_%C3%A0_Ain_sebaa_57361684.htm,13.8924725250259,13012.048192771084
Appartement à vendre 79m² à Ain Sebaa,948000.0,Appartements dans Casablanca,79.0,3.0,2.0,https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_%C3%A0_vendre_79m%C2%B2_%C3%A0_Ain_Sebaa_57279649.htm,13.762110836088922,12000.0
Appartement de luxe à vendre vue mer,2340000.0,Appartements dans Tanger,72.0,2.0,2.0,https://www.avito.ma/fr/tanger_city_center/appartements/Appartement_de_luxe_%C3%A0_vendre_vue_mer_57831775.htm,14.66566191468422,32500.0
Appartement à vendre 62 m² à Casablanca,600000.0,Appartements dans Casablanca,62.0,2.0,1.0,https://www.avito.ma/fr/ma%C3%A2rif_extension/appartements/Appartement_%C3%A0_vendre_62_m%C2%B2_%C3%A0_Casablanca_57842058.htm,13.304686600863562,9677.41935483871
Appartement en face Zone Villa,520000.0,Appartements dans Kénitra,68.0,2.0,1.0,https://www.avito.ma/fr/seyad/appartements/Appartement_en_face_Zone_Villa_57279509.htm,13.161586013632684,7647.058823529412
Appartement à vendre 61 m² à Meknès,380000.0,Appartements dans Meknès,64.0,3.0,2.0,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_61_m%C2%B2_%C3%A0_Mekn%C3%A8s_57198863.htm,12.847929163278053,5937.5
appartement de 97m bien situé,650000.0,Appartements dans El Jadida,97.0,2.0,1.0,https://www.avito.ma/fr/autre_secteur/appartements/appartement_de_97m_bien_situ%C3%A9_57842026.htm,13.384729180332174,6701.030927835051
appartement meublé,460000.0,Appartements dans Salé,55.0,2.0,1.0,https://www.avito.ma/fr/said_hajji/appartements/appartement_meubl%C3%A9_57722532.htm,13.038983942375959,8363.636363636364
APPARTEMENT RÉSIDENCE TAOUIRT TAGHAZOUT BAY,3200000.0,Appartements dans Agadir,99.0,1.0,2.0,https://www.avito.ma/fr/tamraght/appartements/APPARTEMENT_R%C3%89SIDENCE_TAOUIRT_TAGHAZOUT_BAY_57812541.htm,14.978661680269907,32323.23232323232
Appartement 2 chambres à vendre à Oulfa,900000.0,Appartements dans Casablanca,80.0,2.0,2.0,https://www.avito.ma/fr/oulfa/appartements/Appartement_2_chambres_%C3%A0_vendre_%C3%A0_Oulfa_57792383.htm,13.710151153416941,11250.0
appartement à Bahia Golf beach,1949000.0,Appartements dans Bouznika,121.0,3.0,2.0,https://www.avito.ma/fr/autre_secteur/appartements/appartement_%C3%A0_Bahia_Golf_beach_57728547.htm,14.482827491573198,16107.438016528926
"Appartement à vendre, 2 Mars Casablanca",2400000.0,Appartements dans Casablanca,159.0,3.0,3.0,https://www.avito.ma/fr/2_mars/appartements/Appartement_%C3%A0_vendre__2_Mars_Casablanca_57807245.htm,14.690979711984754,15094.33962264151
Appartement R+2//hawtta,360000.0,Appartements dans El Jadida,70.0,2.0,1.0,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_R_2__hawtta_57627228.htm,12.793862088206213,5142.857142857143
Appartement à vendre 82 m² à Kénitra,640000.0,Appartements dans Kénitra,82.0,2.0,2.0,https://www.avito.ma/fr/alliance/appartements/Appartement_%C3%A0_vendre_82_m%C2%B2_%C3%A0_K%C3%A9nitra_57403368.htm,13.369225017834633,7804.878048780488
PALMIER JOLI STUDIO NEUF AVEC TERRASSE À VENDRE,1235000.0,Appartements dans Casablanca,54.0,1.0,1.0,https://www.avito.ma/fr/palmier/appartements/PALMIER_JOLI_STUDIO_NEUF_AVEC_TERRASSE_%C3%80_VENDRE_57392471.htm,14.026582337760486,22870.37037037037
Appartement à vendre 256 m² à Tanger,1900000.0,Appartements dans Tanger,256.0,3.0,3.0,https://www.avito.ma/fr/achakar/appartements/Appartement_%C3%A0_vendre_256_m%C2%B2_%C3%A0_Tanger_57767426.htm,14.45736497045232,7421.875
Appartement à vendre 120 m² à Tanger,2500000.0,Appartements dans Tanger,165.0,2.0,2.0,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_120_m%C2%B2_%C3%A0_Tanger_57778013.htm,14.731801689838349,15151.515151515152
Appartement Avec Terrasse à vendre à Tamraght,1030000.0,Appartements dans Agadir,80.0,2.0,2.0,https://www.avito.ma/fr/tamraght/appartements/Appartement_Avec_Terrasse_%C3%A0_vendre_%C3%A0_Tamraght_57414199.htm,13.845070331079134,12875.0
Appartement de 73 mètres dans un immeuble de seulement 6 appartements,710000.0,Appartements dans Temara,73.0,2.0,1.0,https://www.avito.ma/fr/skikina/appartements/Appartement_de_73_m%C3%A8tres_dans_un_immeuble_de_seulement_6_appartements_57359791.htm,13.47302165746721,9726.027397260274
Appartement à vendre 128 m² à Bouskoura,1300000.0,Appartements dans Bouskoura,140.0,3.0,2.0,https://www.avito.ma/fr/victoria/appartements/Appartement_%C3%A0_vendre_128_m%C2%B2_%C3%A0_Bouskoura_57814586.htm,14.077875591662238,9285.714285714286
Duplex familial - 269 m² - Ville verte,4000000.0,Appartements dans Bouskoura,184.0,3.0,3.0,https://www.avito.ma/fr/ville_verte/appartements/Duplex_familial___269_m%C2%B2___Ville_verte_57176187.htm,15.201805169084134,21739.130434782608
Appartement à vendre 130 m² à plage des nations,1850000.0,Appartements dans Sidi Bouknadel,130.0,2.0,2.0,https://www.avito.ma/fr/sidi_bouknadel/appartements/Appartement_%C3%A0_vendre_130_m%C2%B2_%C3%A0_plage_des_nations_56055121.htm,14.430696737594902,14230.76923076923
Appartement à vendre 176 m² à Tanger,3500000.0,Appartements dans Tanger,176.0,4.0,2.0,https://www.avito.ma/fr/administratif/appartements/Appartement_%C3%A0_vendre_176_m%C2%B2_%C3%A0_Tanger_57778075.htm,15.068273812173887,19886.363636363636
"Appartement titré à la résidence Halima, 55 m²",380000.0,Appartements dans Salé,55.0,2.0,1.0,https://www.avito.ma/fr/sal%C3%A9/appartements/Appartement_titr%C3%A9_%C3%A0_la_r%C3%A9sidence_Halima__55_m%C2%B2_57841899.htm,12.847929163278053,6909.090909090909
Appartement à vendre 68 m² à Kénitra,340000.0,Appartements dans Kénitra,68.0,2.0,1.0,https://www.avito.ma/fr/bir_rami/appartements/Appartement_%C3%A0_vendre_68_m%C2%B2_%C3%A0_K%C3%A9nitra_57694394.htm,12.73670383776449,5000.0
Appartement à vendre 95 m² à Kénitra,490000.0,Appartements dans Kénitra,95.0,3.0,2.0,https://www.avito.ma/fr/bir_rami/appartements/Appartement_%C3%A0_vendre_95_m%C2%B2_%C3%A0_K%C3%A9nitra_57806454.htm,13.102162710901053,5157.894736842105
Appartement à vendre 70 m² à Kénitra,340000.0,Appartements dans Kénitra,70.0,2.0,1.0,https://www.avito.ma/fr/bir_rami/appartements/Appartement_%C3%A0_vendre_70_m%C2%B2_%C3%A0_K%C3%A9nitra_57806806.htm,12.73670383776449,4857.142857142857
Appartement à vendre 90 m² à Kénitra,600000.0,Appartements dans Kénitra,90.0,3.0,1.0,https://www.avito.ma/fr/seyad/appartements/Appartement_%C3%A0_vendre_90_m%C2%B2_%C3%A0_K%C3%A9nitra_57491963.htm,13.304686600863562,6666.666666666667
Appartement à vendre 90 m² à Kénitra,660000.0,Appartements dans Kénitra,90.0,2.0,1.0,https://www.avito.ma/fr/mimosas/appartements/Appartement_%C3%A0_vendre_90_m%C2%B2_%C3%A0_K%C3%A9nitra_57726965.htm,13.399996629152975,7333.333333333333
"Appartement 124 m² – Centre Ville, Tanger",1800000.0,Appartements dans Tanger,124.0,3.0,2.0,https://www.avito.ma/fr/centre_ville/appartements/Appartement_124_m%C2%B2___Centre_Ville__Tanger_57723798.htm,14.403297778421795,14516.129032258064
Appartement à vendre 80 m² à Kénitra,610000.0,Appartements dans Kénitra,80.0,2.0,2.0,https://www.avito.ma/fr/seyad/appartements/Appartement_%C3%A0_vendre_80_m%C2%B2_%C3%A0_K%C3%A9nitra_57806414.htm,13.321215875492413,7625.0
Appartement à vendre 94 m² à Kénitra,680000.0,Appartements dans Kénitra,94.0,2.0,2.0,https://www.avito.ma/fr/seyad/appartements/Appartement_%C3%A0_vendre_94_m%C2%B2_%C3%A0_K%C3%A9nitra_57806366.htm,13.429849547739444,7234.04255319149
Appartement à vendre 329 m² à Fès,2300000.0,Appartements dans Fès,329.0,3.0,3.0,https://www.avito.ma/fr/champ_de_course/appartements/Appartement_%C3%A0_vendre_329_m%C2%B2_%C3%A0_F%C3%A8s_57661838.htm,14.648420115681892,6990.881458966565
Appartement à vendre à Berrechid El Qabbah,340000.0,Appartements dans Berrechid,70.0,2.0,1.0,https://www.avito.ma/fr/berrechid/appartements/Appartement_%C3%A0_vendre_%C3%A0_Berrechid_El_Qabbah_57707198.htm,12.73670383776449,4857.142857142857
Super Appartement Vue sur Mer à Dar Bouazza,2390000.0,Appartements dans Dar Bouazza,132.0,3.0,2.0,https://www.avito.ma/fr/dar_bouazza/appartements/Super_Appartement_Vue_sur_Mer_%C3%A0_Dar_Bouazza_57692835.htm,14.686804342317648,18106.060606060608
Super appartements subventionnés à vendre à Toulal,480000.0,Appartements dans Meknès,110.0,3.0,2.0,https://www.avito.ma/fr/autre_secteur/appartements/Super_appartements_subventionn%C3%A9s_%C3%A0_vendre_%C3%A0_Toulal_57841813.htm,13.081543466215237,4363.636363636364
Appartement de Grande Superficie 93 m²,850000.0,Appartements dans Marrakech,93.0,2.0,1.0,https://www.avito.ma/fr/hay_charaf/appartements/Appartement_de_Grande_Superficie_93_m%C2%B2_57807028.htm,13.652992804936396,9139.78494623656
Appartement 2ème étage,540000.0,Appartements dans Tifelt,96.0,2.0,2.0,https://www.avito.ma/fr/tifelt/appartements/Appartement_2%C3%A8me_%C3%A9tage_57841791.htm,13.199326270390594,5625.0
Appartement à vendre 85 m²,1350000.0,Appartements dans Casablanca,80.0,2.0,2.0,https://www.avito.ma/fr/2_mars/appartements/Appartement_%C3%A0_vendre_85_m%C2%B2_57831380.htm,14.115615891155079,16875.0
Appartement à vendre,550000.0,Appartements dans Tanger,60.0,2.0,1.0,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_57762062.htm,13.217675375388819,9166.666666666666
Appartement divisé en 2 studios à 2 min de Marina,3200000.0,Appartements dans Tanger,84.0,2.0,2.0,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_divis%C3%A9_en_2_studios_%C3%A0_2_min_de_Marina_57108799.htm,14.978661680269907,38095.23809523809
Appartement à vendre 74 m² à Casablanca,1100000.0,Appartements dans Casablanca,74.0,2.0,2.0,https://www.avito.ma/fr/belv%C3%A9d%C3%A8re/appartements/Appartement_%C3%A0_vendre_74_m%C2%B2_%C3%A0_Casablanca_57841788.htm,13.910821646859095,14864.864864864865
Urgent à vendre grand appartement deux façade,1990000.0,Appartements dans Casablanca,250.0,5.0,3.0,https://www.avito.ma/fr/belv%C3%A9d%C3%A8re/appartements/Urgent_%C3%A0_vendre_grand_appartement_deux_fa%C3%A7ade_57622437.htm,14.503645699213111,7960.0
Appartement à vendre à Imouzzer kender – Résidence Riyad Al Atlas (117m² avec garage),740000.0,Appartements dans Imouzzer-Kendar,117.0,3.0,2.0,https://www.avito.ma/fr/imouzzer_kendar/appartements/Appartement_%C3%A0_vendre_%C3%A0_Imouzzer_kender___R%C3%A9sidence_Riyad_Al_Atlas__117m%C2%B2_avec_garage__57709791.htm,13.51440681653079,6324.786324786325
APPARTEMENT DE STANDING QUARTIER CHARAF,1110000.0,Appartements dans Marrakech,74.0,2.0,1.0,https://www.avito.ma/fr/route_de_casablanca/appartements/APPARTEMENT_DE_STANDING_QUARTIER_CHARAF_57817352.htm,13.919871474189012,15000.0
Duplex luxueux à vendre 318 m² à Racine,4000000.0,Appartements dans Casablanca,318.0,4.0,3.0,https://www.avito.ma/fr/racine/appartements/Duplex_luxueux_%C3%A0_vendre_318_m%C2%B2_%C3%A0_Racine_57639979.htm,15.201805169084134,12578.616352201258
Appart à vendre avec garage à Bouznika,760000.0,Appartements dans Bouznika,146.0,4.0,1.0,https://www.avito.ma/fr/autre_secteur/appartements/Appart_%C3%A0_vendre_avec_garage_%C3%A0_Bouznika_52394624.htm,13.541075028051122,5205.479452054795
